# derived from http://www.medo.jp/anatomy_la.htm
# 0.rb によつて CSV にした．

A alveolaris inferior,下歯槽動脈,inferior alveolar artery
Aa. alveolares superiores anteriores,前上歯槽動脈,anterior superior alveolar artery
A alveolaris superior posterior,後上歯槽動脈,posterior superior alveolar artery
A angularis,眼角動脈,angular artery
A appendicularis,虫垂動脈,appendicular artery
A arcuata,弓状動脈,arcuate artery
A ascendens,上行枝,ascending artery
A auricularis posterior,後耳介動脈,posterior auricular artery
A auricularis profunda,深耳介動脈,deep auricular artery
A axillaris,腋窩動脈,axillary artery
A basilaris,脳底動脈,basilar artery
A brachialis,上腕動脈,brachial artery
A brachialis superficialis,浅上腕動脈,superficial brachial artery
A buccalis,頬動脈,buccal artery
A bulbi penis,尿道球動脈,artery of bulb of penis
A bulbi vestibuli vaginae,膣前庭球動脈,artery of bulb of vaginal vestibule
A callosomarginalis,脳梁縁動脈,callosomarginal artery
A canalis pterygoidei,翼突管動脈,Vidian artery
A carotis communis,総頚動脈,common carotid artery
A carotis externa,外頚動脈,external carotid artery
A carotis interna,内頚動脈,internal carotid artery
A caudae pancreatis,膵尾動脈,caudal pancreatic artery
Aa. centrales anteromediales,前内側中心動脈,anteromedial central arteries[pl]
A centralis retinae,網膜中心動脈,central artery of retina
A cerebelli inferior anterior,前下小脳動脈,anterior inferior cerebellar artery
A cerebelli inferior posterior,後下小脳動脈,posterior inferior cerebellar artery
A cerebelli superior,上小脳動脈,superior cerebellar artery
A cecalis anterior,前盲腸枝,anterior cecal artery
A cecalis posterior,後盲腸枝,posterior cecal artery
A cerebelli inferior anterior,前下小脳動脈,anterior inferior cerebellar artery
Aa. cerebri,大脳動脈,cerebral artery
A cerebri anterior,前大脳動脈,anterior cerebral artery
A cerebri media,中大脳動脈,middle cerebral artery
A cerebri posterior,後大脳動脈,posterior cerebral artery
A cervicalis ascendens,上行頚動脈,ascending cervical artery
A cervicalis profunda,深頚動脈,deep cervical artery
A cervicalis superficialis,浅頚動脈,superficial cervical artery
A choroidea anterior,前脈絡叢動脈,i
A circumflexa femoris medialis,内側大腿回旋動脈,medial circumflex femoral artery
A circumflexa humeri posterior,後上腕回旋動脈,posterior circumflex humeral artery
A circumflexa ilium profunda,深腸骨回旋動脈,deep circumflex iliac artery
A circumflexa scapulae,肩甲回旋動脈,circumflex scapular artery
A cochlearis communis,総蝸牛動脈,common cochlear artery
A colica,結腸動脈,colic artery
A colica media,中結腸動脈,middle colic artery
A colica sinistra,左結腸動脈,left colic artery
A collateralis media,中側副動脈,medial collateral artery
A collateralis radialis,橈側側副動脈,radial collateral artery
A collateralis ulnaris superior,上尺側側副動脈,superior ulnar collateral artery
A commissuralis mediana,正中交通動脈,median commissural artery
A coronaria dextra,右冠状動脈,right coronary artery
